ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2297	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2298	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2299	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2300	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2301	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2302	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2303	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2304	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2305	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2306	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2307	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2308	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2309	2	2	1	0.000000	982.500000	1.000000	0.000000	0.000000	0	0	0
2310	24	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2311	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2312	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2313	31	1	1	0.000000	1.967742	1.967742	0.000000	0.000000	0	0	0
2314	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2315	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2316	37	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2317	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2318	16	1	1	0.000000	1.125000	1.125000	0.000000	0.000000	0	0	0
2319	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2320	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2321	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2322	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2323	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2324	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2325	50	1	1	0.000000	1.780000	1.120000	0.000000	0.000000	0	0	0
2326	12	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2327	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2328	11	1	1	0.000000	1.454545	1.454545	0.000000	0.000000	0	0	0
2329	7	1	2	0.000000	1124.428571	1.428571	0.000000	0.000000	0	0	0
2330	11	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2331	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2332	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2333	96	1	0	0.000000	1.041667	1.041667	0.000000	0.000000	0	0	0
2334	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2335	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2336	31	1	1	0.000000	1.354839	1.354839	0.000000	0.000000	0	0	0
2337	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
